year,group_name,hiuyi_name,cffid,count
2017,百度,National Conference on Artificial Intelligence,2122770072_0,5
2017,百度,Computer Vision and Pattern Recognition,2122280177_0,4
2017,百度,Meeting of the Association for Computational Linguistics,2123670350_0,3
2017,百度,International Conference on Computer Vision,2120665855_0,7
2017,百度,International Joint Conference on Artificial Intelligence,2122547259_0,3
2017,百度,International Conference on Machine Learning,2122362464_0,3
2017,百度,Neural Information Processing Systems,2124815797_0,3
2017,百度,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,0
2017,百度,International Journal of Computer Vision,2112195503_0,1
2017,百度,Artificial Intelligence,2113800408_0,0
2017,百度,Journal of Machine Learning Research,2110409127_0,0
2017,腾讯,National Conference on Artificial Intelligence,2122770072_0,4
2017,腾讯,Computer Vision and Pattern Recognition,2122280177_0,12
2017,腾讯,Meeting of the Association for Computational Linguistics,2123670350_0,1
2017,腾讯,International Conference on Computer Vision,2120665855_0,9
2017,腾讯,International Joint Conference on Artificial Intelligence,2122547259_0,9
2017,腾讯,International Conference on Machine Learning,2122362464_0,2
2017,腾讯,Neural Information Processing Systems,2124815797_0,5
2017,腾讯,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,0
2017,腾讯,International Journal of Computer Vision,2112195503_0,0
2017,腾讯,Artificial Intelligence,2113800408_0,0
2017,腾讯,Journal of Machine Learning Research,2110409127_0,0
2017,阿里,National Conference on Artificial Intelligence,2122770072_0,2
2017,阿里,Computer Vision and Pattern Recognition,2122280177_0,3
2017,阿里,Meeting of the Association for Computational Linguistics,2123670350_0,1
2017,阿里,International Conference on Computer Vision,2120665855_0,2
2017,阿里,International Joint Conference on Artificial Intelligence,2122547259_0,2
2017,阿里,International Conference on Machine Learning,2122362464_0,0
2017,阿里,Neural Information Processing Systems,2124815797_0,0
2017,阿里,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,2
2017,阿里,International Journal of Computer Vision,2112195503_0,0
2017,阿里,Artificial Intelligence,2113800408_0,0
2017,阿里,Journal of Machine Learning Research,2110409127_0,0
2018,百度,National Conference on Artificial Intelligence,2122770072_0,13
2018,百度,Computer Vision and Pattern Recognition,2122280177_0,20
2018,百度,Meeting of the Association for Computational Linguistics,2123670350_0,10
2018,百度,International Conference on Computer Vision,2120665855_0,1
2018,百度,International Joint Conference on Artificial Intelligence,2122547259_0,5
2018,百度,International Conference on Machine Learning,2122362464_0,7
2018,百度,Neural Information Processing Systems,2124815797_0,6
2018,百度,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,2
2018,百度,International Journal of Computer Vision,2112195503_0,1
2018,百度,Artificial Intelligence,2113800408_0,0
2018,百度,Journal of Machine Learning Research,2110409127_0,0
2018,腾讯,National Conference on Artificial Intelligence,2122770072_0,15
2018,腾讯,Computer Vision and Pattern Recognition,2122280177_0,48
2018,腾讯,Meeting of the Association for Computational Linguistics,2123670350_0,12
2018,腾讯,International Conference on Computer Vision,2120665855_0,0
2018,腾讯,International Joint Conference on Artificial Intelligence,2122547259_0,25
2018,腾讯,International Conference on Machine Learning,2122362464_0,10
2018,腾讯,Neural Information Processing Systems,2124815797_0,30
2018,腾讯,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,4
2018,腾讯,International Journal of Computer Vision,2112195503_0,2
2018,腾讯,Artificial Intelligence,2113800408_0,0
2018,腾讯,Journal of Machine Learning Research,2110409127_0,0
2018,阿里,National Conference on Artificial Intelligence,2122770072_0,15
2018,阿里,Computer Vision and Pattern Recognition,2122280177_0,11
2018,阿里,Meeting of the Association for Computational Linguistics,2123670350_0,5
2018,阿里,International Conference on Computer Vision,2120665855_0,0
2018,阿里,International Joint Conference on Artificial Intelligence,2122547259_0,10
2018,阿里,International Conference on Machine Learning,2122362464_0,1
2018,阿里,Neural Information Processing Systems,2124815797_0,2
2018,阿里,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,1
2018,阿里,International Journal of Computer Vision,2112195503_0,0
2018,阿里,Artificial Intelligence,2113800408_0,0
2018,阿里,Journal of Machine Learning Research,2110409127_0,0
2019,百度,National Conference on Artificial Intelligence,2122770072_0,22
2019,百度,Computer Vision and Pattern Recognition,2122280177_0,9
2019,百度,Meeting of the Association for Computational Linguistics,2123670350_0,8
2019,百度,International Conference on Computer Vision,2120665855_0,14
2019,百度,International Joint Conference on Artificial Intelligence,2122547259_0,12
2019,百度,International Conference on Machine Learning,2122362464_0,1
2019,百度,Neural Information Processing Systems,2124815797_0,5
2019,百度,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,6
2019,百度,International Journal of Computer Vision,2112195503_0,0
2019,百度,Artificial Intelligence,2113800408_0,0
2019,百度,Journal of Machine Learning Research,2110409127_0,0
2019,腾讯,National Conference on Artificial Intelligence,2122770072_0,63
2019,腾讯,Computer Vision and Pattern Recognition,2122280177_0,40
2019,腾讯,Meeting of the Association for Computational Linguistics,2123670350_0,31
2019,腾讯,International Conference on Computer Vision,2120665855_0,23
2019,腾讯,International Joint Conference on Artificial Intelligence,2122547259_0,23
2019,腾讯,International Conference on Machine Learning,2122362464_0,10
2019,腾讯,Neural Information Processing Systems,2124815797_0,16
2019,腾讯,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,13
2019,腾讯,International Journal of Computer Vision,2112195503_0,3
2019,腾讯,Artificial Intelligence,2113800408_0,0
2019,腾讯,Journal of Machine Learning Research,2110409127_0,0
2019,阿里,National Conference on Artificial Intelligence,2122770072_0,29
2019,阿里,Computer Vision and Pattern Recognition,2122280177_0,8
2019,阿里,Meeting of the Association for Computational Linguistics,2123670350_0,12
2019,阿里,International Conference on Computer Vision,2120665855_0,8
2019,阿里,International Joint Conference on Artificial Intelligence,2122547259_0,31
2019,阿里,International Conference on Machine Learning,2122362464_0,3
2019,阿里,Neural Information Processing Systems,2124815797_0,8
2019,阿里,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,2
2019,阿里,International Journal of Computer Vision,2112195503_0,2
2019,阿里,Artificial Intelligence,2113800408_0,1
2019,阿里,Journal of Machine Learning Research,2110409127_0,0
2020,百度,National Conference on Artificial Intelligence,2122770072_0,22
2020,百度,Computer Vision and Pattern Recognition,2122280177_0,0
2020,百度,Meeting of the Association for Computational Linguistics,2123670350_0,0
2020,百度,International Conference on Computer Vision,2120665855_0,0
2020,百度,International Joint Conference on Artificial Intelligence,2122547259_0,0
2020,百度,International Conference on Machine Learning,2122362464_0,0
2020,百度,Neural Information Processing Systems,2124815797_0,0
2020,百度,IEEE Transactions on Pattern Analysis and Machine Intelligence,2114134642_0,0
2020,百度,International Journal of Computer Vision,2112195503_0,0
